car_plate,owner_name,owner_addr,vechicle_type,registration_date
BQY 47,Muhammad bin Siti,"880 Jalan Bukit Melati, Kuala Lumpur",SUV,1991-05-06T16:13:29
WD 59,Tan Hua Yan,"521 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1990-04-21T04:34:04
ZNQ 46,Haziq binti Azlan,"652 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1998-07-11T17:02:49
IDJ 5209,Suresh a/l Lakshmi,"276 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1990-03-18T08:58:25
RN 6413,Wong Mei Liang,"16 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2004-10-04T13:10:22
SHR 14,Teoh Ling Yan,"666 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2005-07-23T20:46:13
QPM 4664,Suresh a/p Mani,"266 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2000-09-18T04:06:18
IOP 8,Mani a/l Lakshmi,"896 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2008-09-15T00:07:52
OH 2,Ng Yan Wei,"844 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1990-11-07T05:53:09
ON 3,Liyana bin Nur,"307 Jalan Bukit Melati, Kuala Lumpur",Truck,1991-12-17T03:38:00
RZB 290,Devi a/l Anita,"483 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2009-06-25T01:51:06
HB 4,Nur binti Aisyah,"442 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1998-06-30T23:56:43
MF 6,Kumar a/p Arjun,"553 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1993-04-30T01:51:44
EW 1,Nur bin Ahmad,"420 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1999-02-15T20:05:12
SOU 310,Goh Liang Jun,"208 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1990-08-18T19:37:40
GQ 0803,Chan Jie Yan,"495 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1990-09-16T17:26:22
ROE 7,Raj a/l Priya,"775 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2007-01-21T08:36:35
ICR 86,Liyana bin Aisyah,"570 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2009-04-19T20:19:48
HH 72,Teoh Jie Liang,"621 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2009-12-20T22:53:33
RQ 158,Ahmad binti Haziq,"635 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1994-05-04T12:52:41
RML 82,Lee Ling Mei,"76 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2001-04-14T03:03:58
DPY 2,Aisyah bin Liyana,"312 Jalan Bukit Mawar, Kuala Lumpur",SUV,1997-11-18T18:44:27
DL 5278,Nur binti Farid,"422 Jalan Bukit Melati, Kuala Lumpur",Truck,2009-11-04T07:02:13
FU 4,Anita a/l Priya,"190 Jalan Bukit Bintang, Kuala Lumpur",SUV,1994-11-20T13:26:53
EQR 125,Ng Liang Mei,"966 Jalan Bukit Bintang, Kuala Lumpur",SUV,1994-10-05T15:04:00
QGY 0,Siti bin Farid,"937 Jalan Bukit Melati, Kuala Lumpur",SUV,2006-04-11T06:51:47
NNR 173,Ahmad bin Farid,"245 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2002-11-30T04:19:29
PHE 4986,Teoh Mei Yan,"855 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2003-03-04T06:42:48
VK 5,Liyana bin Farid,"129 Jalan Bukit Bintang, Kuala Lumpur",SUV,1999-08-14T06:48:42
KDZ 5669,Lee Ling Hua,"512 Jalan Bukit Bintang, Kuala Lumpur",Truck,2010-04-14T06:05:37
NVJ 05,Chan Hua Xuan,"978 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2003-12-21T11:58:16
IUQ 154,Devi a/l Suresh,"540 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2008-10-06T07:59:01
DN 609,Muhammad binti Haziq,"242 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1996-01-31T02:55:08
SW 71,Lakshmi a/p Deepa,"511 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2010-11-25T03:54:28
NOB 72,Lim Hui Ling,"946 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2010-04-09T10:28:12
CK 6826,Deepa a/l Lakshmi,"563 Jalan Bukit Bintang, Kuala Lumpur",Truck,1997-05-10T21:42:06
BE 031,Siti bin Ahmad,"848 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2009-05-26T06:56:32
SV 893,Mani a/p Priya,"259 Jalan Bukit Mawar, Kuala Lumpur",Truck,1995-09-23T20:55:30
CI 22,Wong Xuan Wei,"846 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1994-08-22T22:58:13
UBI 306,Azlan bin Aisyah,"828 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2003-04-04T21:30:36
PE 2484,Azlan bin Farid,"555 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2006-04-03T22:33:19
WKZ 6859,Siti bin Farid,"636 Jalan Bukit Mawar, Kuala Lumpur",SUV,2007-03-03T18:07:26
YAV 1,Tan Jun Wei,"81 Jalan Bukit Melati, Kuala Lumpur",Sedan,2000-10-01T22:34:53
WJS 8,Tan Hui Xuan,"656 Jalan Bukit Mawar, Kuala Lumpur",Truck,2002-06-16T19:28:49
VRF 9224,Liyana bin Haziq,"300 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2009-12-26T05:17:02
ZK 6,Deepa a/p Mani,"672 Jalan Bukit Melati, Kuala Lumpur",Truck,2002-07-01T23:44:10
GY 1,Ahmad binti Siti,"937 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1990-10-19T22:15:08
QXH 1978,Farid bin Haziq,"721 Jalan Bukit Bintang, Kuala Lumpur",SUV,1996-09-23T13:56:52
ZIR 7792,Lim Liang Jie,"639 Jalan Bukit Bintang, Kuala Lumpur",SUV,2001-08-09T00:18:43
MKD 4,Teoh Yan Ling,"881 Jalan Bukit Mawar, Kuala Lumpur",Truck,1997-07-05T21:43:19
AMD 7,Devi a/p Raj,"313 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1998-03-05T23:26:11
UA 229,Nurul bin Nur,"707 Jalan Bukit Bintang, Kuala Lumpur",SUV,1997-08-06T01:43:40
WU 24,Teoh Yan Ling,"678 Jalan Bukit Melati, Kuala Lumpur",Truck,1995-05-16T04:24:12
DUG 52,Lim Xuan Hua,"929 Jalan Bukit Melati, Kuala Lumpur",Truck,2003-07-28T16:03:33
VS 06,Arjun a/p Raj,"673 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2004-08-05T06:33:42
NPW 9,Nur binti Ahmad,"82 Jalan Bukit Melati, Kuala Lumpur",Sedan,1998-08-11T09:45:39
SKT 344,Azlan binti Farid,"83 Jalan Bukit Mawar, Kuala Lumpur",SUV,2000-05-14T15:24:23
BOF 016,Liyana bin Ahmad,"51 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1996-12-16T16:47:50
CO 0,Goh Yan Jun,"455 Jalan Bukit Melati, Kuala Lumpur",Truck,1997-10-29T19:12:38
CEY 15,Suresh a/p Arjun,"381 Jalan Bukit Melati, Kuala Lumpur",Truck,1995-09-30T08:04:10
PU 33,Tan Jun Hui,"717 Jalan Bukit Bintang, Kuala Lumpur",Truck,2005-08-18T23:23:22
VM 5584,Lim Hua Wei,"595 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1991-01-15T02:12:31
WRX 8,Ng Wei Hui,"822 Jalan Bukit Bintang, Kuala Lumpur",Truck,2006-08-09T17:27:54
HNI 144,Nurul binti Farid,"985 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2005-08-28T23:56:11
ZM 4,Devi a/p Lakshmi,"761 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2006-08-19T22:35:54
CS 5,Ng Hui Hua,"519 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1993-12-04T21:33:10
ZF 8775,Arjun a/l Arjun,"106 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1991-04-13T04:47:40
MIW 5962,Foo Hui Liang,"678 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2010-01-26T11:58:35
WKY 1446,Anita a/p Devi,"730 Jalan Bukit Bintang, Kuala Lumpur",SUV,2007-03-01T12:23:34
ON 0232,Aisyah bin Haziq,"749 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2001-05-26T18:44:02
WUD 58,Lakshmi a/l Raj,"81 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1993-01-20T15:05:47
WM 5990,Nur bin Liyana,"675 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2002-02-27T22:01:02
PA 284,Teoh Hui Xuan,"239 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1991-05-23T09:18:05
JH 405,Kumar a/p Deepa,"672 Jalan Bukit Melati, Kuala Lumpur",Sedan,2007-11-04T02:18:43
PA 6,Teoh Wei Mei,"723 Jalan Bukit Bintang, Kuala Lumpur",SUV,1990-11-10T09:05:11
YGN 2607,Devi a/l Suresh,"322 Jalan Bukit Bintang, Kuala Lumpur",Truck,1992-01-29T20:21:07
BW 97,Lim Mei Ling,"269 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2006-04-01T18:58:56
QH 0636,Chong Wei Yan,"824 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2005-04-22T17:32:23
YJX 8,Lim Yan Ling,"916 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2008-05-30T05:17:27
RTR 6,Goh Xuan Hua,"815 Jalan Bukit Mawar, Kuala Lumpur",Truck,2002-10-02T08:07:42
ZIU 5,Priya a/l Suresh,"819 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2003-10-09T04:56:28
VAO 47,Haziq binti Siti,"749 Jalan Bukit Bintang, Kuala Lumpur",SUV,1992-03-05T13:20:13
OAU 2,Haziq binti Ahmad,"102 Jalan Bukit Bintang, Kuala Lumpur",SUV,2003-11-11T14:18:34
SCO 83,Tan Mei Yan,"486 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1991-08-29T23:35:06
EW 71,Foo Xuan Liang,"88 Jalan Bukit Bintang, Kuala Lumpur",Truck,2000-12-29T23:02:50
CJ 22,Deepa a/p Deepa,"846 Jalan Bukit Mawar, Kuala Lumpur",Truck,2004-12-22T01:27:23
AG 6,Farid bin Nur,"935 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1998-04-18T04:54:03
VHH 09,Chan Liang Xuan,"559 Jalan Bukit Mawar, Kuala Lumpur",Truck,2006-02-09T01:41:27
JEK 5890,Ahmad bin Aisyah,"968 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1997-05-05T05:32:50
DC 8,Wong Hua Yan,"451 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1998-09-29T09:21:20
AGI 386,Farid bin Muhammad,"575 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1997-12-23T12:21:02
ZJ 3173,Chan Hui Mei,"532 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2008-11-01T00:58:14
WK 5,Wong Hui Hua,"4 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1997-07-19T20:04:45
EAQ 4,Mani a/l Arjun,"724 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2008-09-03T10:17:28
ETE 15,Priya a/l Suresh,"228 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2001-05-03T02:12:41
DFT 9424,Goh Jun Yan,"422 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2005-05-29T17:55:54
IFC 86,Ahmad binti Nurul,"706 Jalan Bukit Mawar, Kuala Lumpur",SUV,1994-01-09T07:57:50
FJ 94,Mani a/p Raj,"469 Jalan Bukit Melati, Kuala Lumpur",Truck,1993-10-18T14:39:53
PF 51,Tan Mei Liang,"663 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1999-05-10T19:20:37
BC 56,Azlan bin Ahmad,"860 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2008-04-11T10:39:29
YRD 3,Lim Xuan Mei,"274 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1992-03-30T10:59:12
XDO 6173,Aisyah bin Siti,"961 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1998-11-24T02:15:57
RR 618,Devi a/l Anita,"255 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1992-09-04T12:10:53
CGY 64,Nur bin Farid,"419 Jalan Bukit Mawar, Kuala Lumpur",Truck,1994-09-09T17:47:43
TA 852,Chong Jun Yan,"732 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2002-08-08T04:22:25
FQ 298,Ahmad binti Nurul,"103 Jalan Bukit Mawar, Kuala Lumpur",SUV,1992-05-09T09:36:30
ST 640,Ahmad bin Siti,"500 Jalan Bukit Mawar, Kuala Lumpur",SUV,2004-12-11T13:51:14
FNY 4,Muhammad bin Aisyah,"134 Jalan Bukit Mawar, Kuala Lumpur",SUV,2004-02-08T19:39:22
MEX 917,Tan Xuan Wei,"384 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2010-10-30T09:37:06
ZZC 50,Aisyah binti Haziq,"747 Jalan Bukit Melati, Kuala Lumpur",SUV,2010-03-18T23:14:58
WU 3493,Siti binti Nurul,"258 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2002-06-04T17:49:48
ZK 97,Azlan bin Aisyah,"553 Jalan Bukit Bintang, Kuala Lumpur",Truck,1993-03-25T17:59:28
UQF 2980,Chong Ling Wei,"174 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1997-11-28T23:34:10
VZ 43,Farid binti Muhammad,"994 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1998-01-31T21:32:57
OT 901,Aisyah binti Azlan,"396 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1990-01-31T16:19:45
HQ 7,Azlan bin Liyana,"874 Jalan Bukit Mawar, Kuala Lumpur",SUV,1990-08-25T07:07:13
NO 1607,Ahmad binti Farid,"769 Jalan Bukit Bintang, Kuala Lumpur",Truck,2007-02-08T04:47:07
HQD 3,Tan Mei Hua,"565 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1995-05-07T00:20:32
SUD 60,Wong Jun Xuan,"741 Jalan Bukit Melati, Kuala Lumpur",Sedan,1990-11-08T17:13:18
UEH 032,Wong Xuan Jie,"754 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2007-09-17T09:48:20
QED 7529,Tan Jun Jie,"466 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2008-08-14T10:24:42
IYK 5,Kumar a/p Devi,"278 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1994-05-15T07:08:51
YCI 418,Siti bin Farid,"223 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1995-08-15T12:00:40
BNQ 6,Haziq bin Nurul,"65 Jalan Bukit Melati, Kuala Lumpur",Truck,1996-07-11T20:44:51
EDC 34,Teoh Liang Jie,"748 Jalan Bukit Mawar, Kuala Lumpur",Truck,1999-04-29T22:49:54
XP 4097,Siti bin Farid,"81 Jalan Bukit Bintang, Kuala Lumpur",Truck,2010-09-09T13:44:21
WQ 1,Lee Liang Jie,"591 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2000-11-29T01:44:24
MRG 8,Nur bin Haziq,"537 Jalan Bukit Mawar, Kuala Lumpur",SUV,1994-09-12T17:58:48
MN 53,Azlan bin Nurul,"378 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2001-01-13T11:26:31
DK 059,Wong Xuan Hua,"519 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1991-04-14T22:57:54
MSV 04,Farid binti Azlan,"435 Jalan Bukit Mawar, Kuala Lumpur",Truck,1994-10-15T13:16:44
HJ 8421,Azlan binti Liyana,"555 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2010-04-13T19:36:33
NMD 0154,Teoh Jie Yan,"225 Jalan Bukit Bintang, Kuala Lumpur",SUV,2002-06-04T15:41:53
CT 7590,Arjun a/p Suresh,"722 Jalan Bukit Melati, Kuala Lumpur",SUV,1999-02-02T11:01:48
AY 236,Kumar a/p Devi,"614 Jalan Bukit Melati, Kuala Lumpur",Truck,1999-08-22T08:52:15
IY 8,Liyana binti Haziq,"445 Jalan Bukit Melati, Kuala Lumpur",Sedan,1992-12-25T12:33:50
STE 20,Lee Wei Jun,"524 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2006-01-24T18:11:30
HN 4,Ng Mei Ling,"527 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2010-03-18T11:13:20
TBA 3,Teoh Ling Xuan,"55 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1990-12-17T23:29:19
QNM 485,Mani a/p Devi,"401 Jalan Bukit Mawar, Kuala Lumpur",Truck,1998-12-07T15:07:09
UX 91,Liyana bin Muhammad,"297 Jalan Bukit Melati, Kuala Lumpur",SUV,1990-10-18T07:29:35
XC 6,Chan Yan Ling,"252 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2003-07-28T18:54:34
MB 6666,Arjun a/p Kumar,"167 Jalan Bukit Melati, Kuala Lumpur",Sedan,2001-04-30T22:16:26
VX 2701,Ng Hui Hua,"755 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2005-02-27T22:38:58
VM 4312,Kumar a/p Priya,"472 Jalan Bukit Melati, Kuala Lumpur",Coupe,1991-09-05T15:11:31
RAM 743,Kumar a/p Lakshmi,"898 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2003-02-28T22:51:21
IWA 3147,Mani a/p Raj,"122 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2009-08-13T14:05:09
DD 218,Anita a/p Mani,"619 Jalan Bukit Mawar, Kuala Lumpur",SUV,2000-03-13T19:16:27
PO 3596,Farid binti Siti,"969 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1990-03-10T03:05:54
NM 5,Teoh Hui Mei,"891 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2009-06-24T15:57:01
IF 6,Lakshmi a/l Lakshmi,"92 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1995-02-26T11:47:41
KG 0,Raj a/p Priya,"963 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2003-02-17T17:54:29
HWE 389,Lim Wei Hua,"12 Jalan Bukit Melati, Kuala Lumpur",SUV,2002-09-01T00:11:34
ASR 305,Farid binti Aisyah,"63 Jalan Bukit Melati, Kuala Lumpur",Truck,2009-03-24T09:58:48
UG 822,Siti binti Muhammad,"978 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2001-03-23T09:38:36
DLJ 3199,Kumar a/l Lakshmi,"54 Jalan Bukit Mawar, Kuala Lumpur",SUV,1993-06-29T01:43:20
FD 65,Teoh Ling Jun,"215 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2010-06-27T18:43:25
QB 3809,Aisyah binti Muhammad,"662 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1992-06-04T01:44:14
NDP 5097,Siti bin Liyana,"948 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2010-09-22T11:45:02
NR 36,Chan Ling Hui,"922 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2008-11-12T06:18:26
KRL 4274,Deepa a/p Arjun,"40 Jalan Bukit Melati, Kuala Lumpur",Sedan,1997-01-03T18:51:11
DH 2,Anita a/l Mani,"464 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1994-02-07T19:05:08
KQ 67,Muhammad binti Aisyah,"103 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2007-03-16T01:40:52
XG 5768,Suresh a/p Kumar,"197 Jalan Bukit Melati, Kuala Lumpur",Coupe,2006-12-28T03:43:33
DC 307,Azlan binti Ahmad,"192 Jalan Bukit Melati, Kuala Lumpur",Sedan,2007-12-15T23:18:54
XYJ 6,Chan Hua Ling,"940 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1994-06-20T07:50:12
FM 6,Teoh Ling Jun,"676 Jalan Bukit Melati, Kuala Lumpur",Sedan,2004-07-17T16:50:33
DU 19,Muhammad binti Siti,"446 Jalan Bukit Bintang, Kuala Lumpur",Truck,2001-02-16T15:10:30
WEO 2597,Azlan bin Haziq,"745 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1997-03-01T08:44:13
EBX 2176,Goh Hui Liang,"628 Jalan Bukit Mawar, Kuala Lumpur",Truck,1994-01-04T12:15:42
EIQ 08,Muhammad bin Farid,"672 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2004-02-24T07:00:28
YRX 958,Kumar a/l Deepa,"140 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2007-04-24T17:50:41
ET 9334,Ng Liang Hua,"848 Jalan Bukit Melati, Kuala Lumpur",Truck,2005-09-20T13:44:20
VD 8768,Liyana binti Muhammad,"534 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2009-12-24T09:32:14
FR 3,Azlan bin Haziq,"176 Jalan Bukit Bintang, Kuala Lumpur",Truck,1998-08-11T15:07:35
RL 5030,Farid binti Muhammad,"780 Jalan Bukit Melati, Kuala Lumpur",SUV,2005-10-26T23:33:42
SL 1307,Goh Jie Yan,"687 Jalan Bukit Bintang, Kuala Lumpur",Truck,1991-03-15T05:11:10
TON 21,Haziq bin Farid,"601 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1996-01-31T22:22:53
BRB 41,Nur bin Liyana,"408 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1990-04-09T10:57:18
RLY 4263,Ng Xuan Wei,"77 Jalan Bukit Mawar, Kuala Lumpur",SUV,2003-07-17T10:09:37
BR 3815,Muhammad bin Haziq,"233 Jalan Bukit Melati, Kuala Lumpur",SUV,1997-05-10T04:15:47
ST 95,Lee Hui Yan,"925 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1991-10-17T21:44:59
WG 7,Chan Hua Mei,"24 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2006-12-12T18:36:36
QWU 7,Tan Xuan Hua,"428 Jalan Bukit Mawar, Kuala Lumpur",SUV,1993-02-19T21:16:44
JIL 3021,Devi a/p Mani,"734 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,2001-03-29T15:50:56
HR 6,Muhammad bin Haziq,"124 Jalan Bukit Melati, Kuala Lumpur",SUV,1997-01-23T13:43:19
VL 641,Aisyah bin Farid,"554 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2008-04-01T21:59:17
CFE 34,Ahmad bin Haziq,"430 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2003-06-21T06:49:29
WXC 5405,Wong Hua Mei,"858 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2002-01-04T21:06:12
QY 98,Chong Jie Wei,"717 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2009-05-08T14:36:09
CV 321,Nurul binti Farid,"959 Jalan Bukit Bintang, Kuala Lumpur",Truck,1996-02-13T00:27:45
QEM 94,Siti bin Ahmad,"767 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1992-07-01T11:17:32
XK 80,Ng Hua Liang,"74 Jalan Bukit Melati, Kuala Lumpur",Truck,1999-05-17T09:21:47
BIP 735,Mani a/l Lakshmi,"961 Jalan Bukit Bintang, Kuala Lumpur",SUV,1992-04-05T20:27:18
XS 2073,Lim Ling Wei,"38 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1999-09-30T12:00:16
YXN 190,Teoh Wei Hui,"799 Jalan Bukit Mawar, Kuala Lumpur",Truck,2004-10-01T22:35:19
WND 4518,Goh Ling Liang,"579 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2006-08-12T03:37:24
IXE 4,Lee Jun Xuan,"543 Jalan Bukit Bintang, Kuala Lumpur",Truck,1994-03-26T10:00:15
VM 4837,Tan Hua Xuan,"32 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2005-03-26T19:31:34
RWI 8950,Siti binti Haziq,"837 Jalan Bukit Bintang, Kuala Lumpur",SUV,2007-06-30T00:37:58
HWY 1,Anita a/p Devi,"954 Jalan Bukit Melati, Kuala Lumpur",Coupe,2008-01-11T08:56:34
WT 160,Mani a/l Deepa,"194 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1990-12-04T22:17:40
ODJ 6655,Liyana bin Muhammad,"561 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2006-05-17T11:53:01
CG 65,Deepa a/l Lakshmi,"32 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1994-11-15T09:45:48
KT 211,Farid bin Muhammad,"585 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1993-09-16T19:33:39
UX 3296,Raj a/p Lakshmi,"688 Jalan Bukit Mawar, Kuala Lumpur",Truck,1996-07-06T00:14:30
BKK 6,Anita a/p Suresh,"781 Jalan Bukit Bintang, Kuala Lumpur",SUV,1996-06-29T23:13:44
WX 7,Teoh Wei Liang,"477 Jalan Bukit Mawar, Kuala Lumpur",Truck,2010-12-09T16:08:42
PCO 4,Ahmad binti Aisyah,"397 Jalan Bukit Melati, Kuala Lumpur",Coupe,1997-09-30T14:50:51
EUI 161,Nur bin Farid,"914 Jalan Bukit Mawar, Kuala Lumpur",Truck,1996-11-15T15:40:00
IMZ 054,Nurul bin Haziq,"36 Jalan Bukit Melati, Kuala Lumpur",Sedan,1990-08-23T23:51:55
BSI 7780,Lee Xuan Liang,"511 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2004-11-11T08:56:39
YCT 5,Haziq binti Liyana,"295 Jalan Bukit Bintang, Kuala Lumpur",Truck,2006-07-23T15:42:45
SY 4,Wong Wei Ling,"730 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2009-02-14T07:36:32
NHY 78,Goh Hui Mei,"383 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1996-03-15T01:22:08
MIT 7080,Liyana binti Siti,"200 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1994-04-03T17:06:20
CGE 2939,Raj a/l Priya,"910 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2004-06-23T00:12:29
WSL 2463,Chong Jie Hua,"223 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2002-01-09T17:37:43
WK 91,Suresh a/p Arjun,"26 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2009-05-01T14:47:57
HI 46,Arjun a/l Arjun,"853 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1991-06-19T20:55:30
APQ 278,Farid binti Nur,"639 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1990-11-17T02:13:36
HOC 0,Foo Yan Hui,"276 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2000-01-20T06:15:48
IWR 4,Deepa a/p Kumar,"163 Jalan Bukit Melati, Kuala Lumpur",Coupe,2001-05-12T07:41:01
WW 7,Ahmad bin Aisyah,"671 Jalan Bukit Bintang, Kuala Lumpur",Truck,2003-07-02T02:33:42
UJ 780,Farid bin Azlan,"405 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2003-06-04T03:59:10
RHY 37,Mani a/l Kumar,"78 Jalan Bukit Mawar, Kuala Lumpur",SUV,1996-07-24T09:58:29
EHL 5953,Kumar a/l Lakshmi,"831 Jalan Bukit Melati, Kuala Lumpur",Coupe,2007-07-06T17:01:54
XID 18,Mani a/l Suresh,"396 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1997-09-24T11:36:56
HIJ 62,Goh Xuan Ling,"382 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2000-09-22T19:11:54
PT 1,Aisyah binti Liyana,"520 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2010-03-10T07:31:44
